sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
11,0.26696,3695.6,4458.7,9.35,27.007,42.423,2703.5,75.236,120.39,0.33131,80.187,50.63,2632.6,23.945,51.076,3101.8,23.265,65.737,229.46,340.7,94.561,77.485,31.94,8.9836,26.428,7.0669,18.707,1.6376,33.206,13.932,23.794,1.2312,18.538,2.2611,4.7993,2.3223,0.021289,0.83451,0.10484,54.094,43.395,62.395,53.674,25.979,60.877,21.974,39.399,39.953,49.024,47.084,41.293,17.353
12,0.26454,3668.6,4485.6,9.2866,26.992,42.451,2704.8,75.355,120.39,0.3319,80.26,51.297,2633.3,25.128,50.355,3101.8,23.319,65.771,230.55,341.3,94.628,77.17,31.94,8.9836,26.428,7.0669,18.707,1.6376,33.206,13.932,23.794,1.2312,18.538,2.2611,4.7993,2.3223,0.021289,0.83451,0.10484,54.094,43.395,62.861,53.352,26.216,60.496,22.06,39.327,41.916,47.356,46.792,41.37,17.232
13,0.27289,3640.2,4480.4,9.4078,27.057,42.366,2703.4,74.769,120.39,0.34872,80.05,49.821,2631.2,25.237,49.551,3100.3,22.142,65.709,229.87,341.07,94.753,77.28,32.498,9.005,26.83,6.9158,19.109,1.683,33.102,13.715,24.195,1.0779,18.764,2.2846,4.9113,2.3523,0.021289,0.83451,0.10484,54.094,43.395,61.788,54.461,26.829,61.33,22.013,41.684,37.573,45.494,46.661,40.445,20.033
14,0.27324,3620.1,4518.0,9.2837,27.053,42.347,2704.8,75.111,120.38,0.34828,80.034,47.727,2633.4,25.376,48.297,3101.8,24.179,65.639,227.07,341.64,94.721,77.16,32.498,9.005,26.83,6.9158,19.109,1.683,33.102,13.715,24.195,1.0779,18.764,2.2846,4.9113,2.3523,0.021289,0.83451,0.10484,54.094,43.395,62.134,54.011,26.795,60.204,22.238,41.738,31.411,42.593,46.723,40.86,15.215
15,0.2191,3656.6,4494.1,9.3588,26.955,42.437,2707.1,74.103,120.39,0.32513,80.099,50.526,2635.9,26.406,50.35,3102.9,23.287,65.611,228.05,341.96,94.78,77.379,32.272,9.0182,26.182,6.9284,18.855,1.6336,33.102,13.715,24.002,1.1663,18.062,2.2735,4.8587,2.3661,0.021289,0.83451,0.10484,54.094,43.395,62.728,53.289,21.433,61.864,22.376,38.743,39.648,47.343,46.45,40.492,17.316
16,0.21806,3677.2,4460.8,9.4405,26.87,42.305,2707.5,74.446,120.41,0.32799,80.084,50.28,2635.3,24.641,49.342,3103.8,21.956,65.598,227.63,341.81,94.607,77.429,32.272,9.0182,26.182,6.9284,18.855,1.6336,33.102,13.715,24.002,1.1663,18.062,2.2735,4.8587,2.3661,0.030945,0.84189,0.098575,53.861,43.392,62.375,53.687,21.535,60.696,22.251,38.393,38.923,45.01,46.681,40.933,20.467
17,0.23602,3663.2,4522.5,9.2827,27.222,41.986,2707.6,75.205,120.39,0.32333,79.986,50.022,2637.0,24.271,49.482,3103.1,24.497,65.568,227.44,341.95,94.716,76.919,32.018,9.0613,26.314,6.836,18.751,1.6389,32.626,13.894,24.075,1.2136,18.722,2.266,4.7329,2.3537,0.030945,0.84189,0.098575,53.861,43.392,62.468,53.538,23.679,61.846,22.812,38.804,38.166,45.334,46.678,41.055,14.48
18,0.23776,3655.2,4475.5,9.3977,26.919,42.495,2709.8,74.93,120.42,0.32485,80.075,49.257,2638.8,25.923,51.451,3104.1,23.491,65.564,225.58,341.74,94.615,77.534,32.018,9.0613,26.314,6.836,18.751,1.6389,32.626,13.894,24.075,1.2136,18.722,2.266,4.7329,2.3537,0.030945,0.84189,0.098575,53.861,43.392,62.606,54.101,23.508,61.4,22.71,38.617,35.915,49.893,46.825,41.286,16.823
19,0.26302,3679.8,4521.4,9.4449,26.909,42.409,2710.3,74.361,120.39,0.34366,80.174,50.725,2639.5,24.473,50.524,3107.5,22.577,65.594,227.46,341.82,94.549,77.341,31.919,8.9579,26.968,6.9165,18.825,1.654,32.554,13.846,23.565,1.3439,18.747,2.2398,4.8002,2.2911,0.030945,0.84189,0.098575,53.861,43.392,62.993,53.801,25.947,62.143,22.335,41.095,40.235,47.746,46.635,41.36,18.989
20,0.26434,3681.2,4513.8,9.4191,27.186,42.262,2711.0,75.0,120.47,0.34732,80.145,48.711,2640.5,24.565,50.15,3107.2,22.427,65.589,226.98,341.98,94.475,77.668,31.919,8.9579,26.968,6.9165,18.825,1.654,32.554,13.846,23.565,1.3439,18.747,2.2398,4.8002,2.2911,0.030945,0.84189,0.098575,53.861,43.392,62.968,53.892,25.817,60.847,22.705,40.649,34.306,46.881,46.657,41.956,19.318
21,0.27456,3651.8,4505.3,9.3577,26.853,42.578,2711.0,75.485,120.38,0.34102,80.031,50.838,2639.2,23.922,49.697,3108.7,22.335,65.585,227.22,342.06,94.633,77.123,32.226,8.669,26.865,6.9338,19.081,1.6393,33.01,13.803,23.843,1.2771,17.916,2.2619,4.7472,2.3037,0.034493,0.82936,0.092129,53.709,44.267,62.772,53.811,27.131,61.263,22.292,40.203,40.567,45.832,46.807,40.495,19.577
22,0.2771,3630.0,4501.4,9.4594,27.135,42.208,2711.2,74.69,120.38,0.34258,79.906,49.528,2640.0,26.321,48.903,3106.5,23.254,65.547,228.07,342.72,94.409,77.12,32.226,8.669,26.865,6.9338,19.081,1.6393,33.01,13.803,23.843,1.2771,17.916,2.2619,4.7472,2.3037,0.034493,0.82936,0.092129,53.709,44.267,63.149,53.857,26.881,61.201,22.582,40.012,36.71,43.995,46.798,40.604,17.407
23,0.24696,3646.0,4498.2,9.3513,27.066,42.583,2712.0,75.673,120.33,0.33643,80.052,49.82,2641.5,23.964,49.889,3107.2,21.989,65.558,229.55,342.72,94.693,77.567,32.381,8.9388,26.439,6.9224,18.56,1.628,33.259,13.773,23.884,1.3004,18.547,2.2899,4.7343,2.3861,0.034493,0.82936,0.092129,53.709,44.267,62.68,53.238,24.243,61.859,22.967,39.61,37.571,46.278,46.731,38.723,20.371
24,0.24838,3651.0,4443.1,9.4049,27.002,42.496,2713.8,74.984,120.31,0.33888,80.015,50.457,2642.7,26.747,49.685,3107.7,23.336,65.562,228.58,343.25,94.419,77.352,32.381,8.9388,26.439,6.9224,18.56,1.628,33.259,13.773,23.884,1.3004,18.547,2.2899,4.7343,2.3861,0.034493,0.82936,0.092129,53.709,44.267,62.595,53.898,24.103,60.319,22.9,39.311,39.445,45.805,46.881,37.11,17.185
25,0.22832,3624.7,4489.9,9.4048,26.936,42.049,2712.6,74.956,120.37,0.3318,79.79,49.33,2640.8,25.737,51.338,3108.8,22.823,65.536,231.32,343.55,94.682,76.944,32.399,8.8492,26.913,6.6855,18.987,1.6289,33.558,13.768,23.963,1.3639,18.189,2.2663,4.7984,2.2152,0.034493,0.82936,0.092129,53.709,44.267,63.103,54.607,22.886,61.142,22.498,39.313,36.129,49.63,46.704,37.861,18.434
26,0.22923,3643.6,4545.9,9.4485,27.044,42.267,2716.1,76.113,120.33,0.33396,79.952,50.369,2645.7,24.957,50.42,3109.6,22.77,65.485,227.23,343.35,94.563,77.448,32.399,8.8492,26.913,6.6855,18.987,1.6289,33.558,13.768,23.963,1.3639,18.189,2.2663,4.7984,2.2152,0.030118,0.83357,0.099338,53.757,43.443,62.779,53.937,22.796,61.614,23.206,39.049,39.185,47.507,46.817,36.53,18.523
27,0.22823,3706.4,4487.6,9.3529,26.997,42.261,2717.0,75.571,120.41,0.33242,79.968,48.795,2647.3,24.467,48.627,3111.9,22.609,65.501,227.8,343.69,94.437,77.432,32.001,8.7229,26.434,6.6837,18.677,1.6464,33.119,13.795,24.05,1.4558,18.67,2.2402,4.8285,2.2909,0.030118,0.83357,0.099338,53.757,43.443,63.849,53.588,22.138,60.184,22.989,39.04,34.553,43.357,46.692,38.349,18.895
28,0.22899,3725.2,4500.1,9.4253,26.99,42.434,2713.7,74.944,120.38,0.33298,79.77,50.28,2642.8,25.722,50.883,3108.9,22.537,65.485,226.91,343.37,94.499,77.017,32.001,8.7229,26.434,6.6837,18.677,1.6464,33.119,13.795,24.05,1.4558,18.67,2.2402,4.8285,2.2909,0.030118,0.83357,0.099338,53.757,43.443,63.524,53.438,22.063,61.865,23.041,38.972,38.923,48.577,46.699,36.501,19.109
29,0.26501,3696.5,4510.7,9.4161,27.098,42.16,2714.0,74.529,120.42,0.33465,79.829,49.998,2643.4,25.847,50.192,3109.6,23.056,65.454,230.43,343.2,94.352,77.246,31.943,8.9076,26.695,6.836,18.98,1.6609,33.083,13.817,23.994,1.1754,18.436,2.2871,4.8041,2.3131,0.030118,0.83357,0.099338,53.757,43.443,64.222,54.062,26.07,60.693,23.067,39.414,38.094,46.978,46.315,37.645,17.862
30,0.26741,3729.3,4539.5,9.3948,26.409,42.328,2711.9,74.169,120.38,0.33381,79.75,50.976,2641.6,22.812,50.24,3106.2,22.717,65.436,225.29,343.5,94.402,76.82,31.943,8.9076,26.695,6.836,18.98,1.6609,33.083,13.817,23.994,1.1754,18.436,2.2871,4.8041,2.3131,0.030118,0.83357,0.099338,53.757,43.443,63.658,53.717,25.835,61.762,22.798,39.516,40.972,47.09,46.7,36.605,18.71
31,0.27294,3674.6,4460.7,9.4679,26.629,42.88,2709.2,74.881,120.49,0.33747,79.625,48.882,2638.6,25.091,50.01,3104.6,23.369,65.411,226.53,343.17,94.571,77.173,32.564,8.9138,26.345,6.7298,19.096,1.6353,32.997,13.87,24.069,1.3611,18.35,2.2585,4.7605,2.1866,0.027792,0.83403,0.094352,53.45,43.433,63.377,53.908,26.836,63.069,22.561,39.627,34.81,46.558,46.624,39.906,17.16
32,0.2727,3696.9,4469.6,9.2946,27.016,41.919,2709.4,75.026,120.58,0.33684,79.792,51.543,2638.4,25.294,49.198,3104.8,23.911,65.388,227.81,343.16,94.622,77.144,32.564,8.9138,26.345,6.7298,19.096,1.6353,32.997,13.87,24.069,1.3611,18.35,2.2585,4.7605,2.1866,0.027792,0.83403,0.094352,53.45,43.433,62.994,53.802,26.86,61.677,22.668,39.704,42.641,44.678,46.485,43.531,15.881
33,0.21093,3699.6,4467.0,9.295,26.904,42.302,2708.1,74.475,120.58,0.34052,79.999,49.62,2637.2,24.644,48.829,3103.6,23.201,65.458,228.9,342.65,94.63,77.574,32.34,8.8833,26.566,6.9739,18.579,1.6443,33.176,13.775,24.435,1.1036,17.744,2.2548,4.7892,2.2057,0.027792,0.83403,0.094352,53.45,43.433,63.972,53.503,20.991,60.88,22.836,40.713,36.983,43.825,46.358,45.153,17.531
34,0.21209,3688.8,4482.5,9.4491,26.707,42.192,2709.1,74.495,120.55,0.3391,80.362,50.438,2638.2,25.122,50.886,3104.6,22.722,65.581,225.93,342.6,94.427,77.737,32.34,8.8833,26.566,6.9739,18.579,1.6443,33.176,13.775,24.435,1.1036,17.744,2.2548,4.7892,2.2057,0.027792,0.83403,0.094352,53.45,43.433,64.158,53.318,20.876,61.723,22.694,40.887,39.388,48.584,46.588,45.142,18.634
35,0.23132,3638.7,4504.7,9.3854,27.081,42.315,2708.9,75.407,120.49,0.33016,80.409,48.906,2638.0,24.709,49.904,3103.4,22.471,65.696,226.44,342.72,94.584,77.462,31.899,8.9202,26.894,6.7155,18.881,1.6337,32.935,13.673,23.791,1.121,18.174,2.2355,4.7927,2.3481,0.027792,0.83403,0.094352,53.45,43.433,62.907,54.311,22.703,60.015,22.736,39.445,34.882,46.311,46.502,44.715,19.22
36,0.2305,3631.4,4515.1,9.3025,26.66,42.534,2707.2,74.668,120.45,0.3307,80.175,49.611,2635.9,25.644,51.281,3103.0,22.552,65.722,225.52,342.72,94.682,77.126,31.899,8.9202,26.894,6.7155,18.881,1.6337,32.935,13.673,23.791,1.121,18.174,2.2355,4.7927,2.3481,0.026527,0.82343,0.095444,53.654,43.495,63.033,54.186,22.783,61.491,22.235,39.38,36.955,49.498,46.551,44.968,19.059
37,0.27379,3704.5,4498.7,9.2596,26.707,42.472,2707.0,75.963,120.44,0.32148,79.982,48.866,2635.4,24.44,50.757,3103.7,22.996,65.672,225.43,342.25,94.653,77.383,31.954,9.0112,26.25,6.9577,18.437,1.6673,33.078,13.778,23.845,1.2702,18.384,2.2882,4.8257,2.3156,0.026527,0.82343,0.095444,53.654,43.495,64.078,53.65,27.063,63.805,22.162,37.612,34.762,48.287,46.528,45.626,17.994
38,0.27358,3685.8,4513.1,9.412,26.957,42.24,2708.3,75.419,120.46,0.31839,80.066,49.569,2637.9,25.793,49.359,3104.8,23.236,65.669,226.7,342.98,94.476,77.381,31.954,9.0112,26.25,6.9577,18.437,1.6673,33.078,13.778,23.845,1.2702,18.384,2.2882,4.8257,2.3156,0.026527,0.82343,0.095444,53.654,43.495,64.399,53.477,27.083,61.53,22.667,37.99,36.832,45.05,46.385,46.146,17.424
39,0.27183,3620.3,4541.2,9.389,26.949,42.185,2711.0,74.617,120.41,0.32914,80.132,50.508,2640.9,23.823,49.446,3104.5,22.159,65.648,224.73,343.08,94.497,77.168,32.342,8.9716,26.802,6.7989,18.695,1.6268,33.078,13.948,23.966,1.1806,18.292,2.2646,4.8663,2.2975,0.026527,0.82343,0.095444,53.654,43.495,63.445,54.251,26.731,60.048,22.95,39.358,39.596,45.253,46.529,44.413,19.986
40,0.27408,3678.6,4530.9,9.3917,27.036,42.023,2711.0,75.21,120.4,0.33036,80.094,48.627,2640.5,24.354,50.008,3105.9,22.549,65.622,225.3,342.7,94.522,77.406,32.342,8.9716,26.802,6.7989,18.695,1.6268,33.078,13.948,23.966,1.1806,18.292,2.2646,4.8663,2.2975,0.026527,0.82343,0.095444,53.654,43.495,62.441,54.374,26.51,61.481,22.821,39.209,34.06,46.552,46.447,45.252,19.044
41,0.23603,3731.4,4509.7,9.3778,26.851,42.412,2711.1,74.745,120.41,0.34638,80.11,48.977,2640.6,22.96,51.338,3105.0,22.275,65.609,225.02,342.78,94.56,77.444,32.302,8.9978,26.9,7.0643,18.593,1.7045,33.325,14.01,23.867,1.3248,18.583,2.2467,4.8507,2.2643,0.011513,0.82986,0.10047,53.559,44.686,62.93,54.028,22.954,59.586,23.036,41.856,35.091,49.63,46.158,45.597,19.684
42,0.23327,3707.8,4527.9,9.4085,27.053,42.362,2709.4,75.477,120.37,0.34995,80.068,48.993,2638.2,25.306,49.314,3105.6,22.4,65.594,224.34,342.45,94.573,77.36,32.302,8.9978,26.9,7.0643,18.593,1.7045,33.325,14.01,23.867,1.3248,18.583,2.2467,4.8507,2.2643,0.011513,0.82986,0.10047,53.559,44.686,63.335,53.811,23.225,62.99,22.556,41.421,35.137,44.945,46.066,45.153,19.392
43,0.23732,3625.8,4503.1,9.2709,26.784,42.389,2708.1,75.169,120.38,0.3582,80.021,49.152,2637.4,25.455,48.49,3102.7,22.658,65.575,224.72,343.07,94.634,77.204,32.105,9.0066,26.671,6.8418,18.013,1.6339,32.804,13.778,23.616,1.2477,18.637,2.2533,4.8465,2.3467,0.011513,0.82986,0.10047,53.559,44.686,62.372,54.38,23.326,61.432,22.476,42.305,35.605,43.04,45.879,45.729,18.786
44,0.23731,3616.8,4526.4,9.2715,26.871,42.067,2708.1,74.975,120.38,0.35666,79.954,48.991,2637.5,24.514,47.634,3103.1,22.712,65.52,224.78,342.83,94.741,77.388,32.105,9.0066,26.671,6.8418,18.013,1.6339,32.804,13.778,23.616,1.2477,18.637,2.2533,4.8465,2.3467,0.011513,0.82986,0.10047,53.559,44.686,62.526,54.103,23.328,60.897,22.876,42.494,35.13,41.059,45.727,46.149,18.654
45,0.25669,3644.1,4617.1,9.2158,26.948,42.062,2709.0,75.056,120.38,0.32974,79.887,49.828,2638.0,26.417,49.082,3104.8,22.597,65.475,222.78,342.57,94.675,77.217,31.957,8.9367,26.861,6.9067,18.698,1.6019,33.48,13.77,24.42,1.195,18.31,2.2086,4.8575,2.3521,0.011513,0.82986,0.10047,53.559,44.686,63.941,54.521,25.139,63.147,22.508,39.663,37.595,44.409,45.757,46.357,18.951
46,0.25573,3670.1,4582.2,9.3981,27.224,42.25,2711.3,74.531,120.38,0.33408,79.993,51.031,2640.4,25.493,49.422,3106.8,23.415,65.441,223.81,342.43,94.478,77.562,31.957,8.9367,26.861,6.9067,18.698,1.6019,33.48,13.77,24.42,1.195,18.31,2.2086,4.8575,2.3521,0.0083311,0.82614,0.10134,53.691,44.227,63.494,54.938,25.234,61.554,22.96,39.134,41.135,45.195,45.669,45.757,16.983
47,0.27196,3654.8,4515.6,9.3511,27.028,42.126,2711.9,74.758,120.31,0.33154,80.005,51.054,2641.6,23.291,50.364,3108.3,22.583,65.442,222.5,342.08,94.44,76.931,31.993,8.8097,26.789,7.0135,18.832,1.6766,32.953,13.674,24.694,1.1852,18.244,2.2512,4.8432,2.2329,0.0083311,0.82614,0.10134,53.691,44.227,63.195,54.124,26.776,61.098,22.678,39.169,41.201,47.376,45.702,42.326,18.999
48,0.27233,3659.0,4499.7,9.2289,26.734,42.428,2712.5,74.688,120.25,0.33065,79.778,50.275,2641.3,26.679,49.918,3107.9,22.873,65.393,224.01,342.49,94.522,77.126,31.993,8.8097,26.789,7.0135,18.832,1.6766,32.953,13.674,24.694,1.1852,18.244,2.2512,4.8432,2.2329,0.0083311,0.82614,0.10134,53.691,44.227,63.123,54.315,26.739,58.792,22.692,39.278,38.911,46.344,45.491,40.407,18.309
49,0.2716,3646.0,4480.9,9.3217,27.205,42.077,2714.7,74.611,120.23,0.32,79.817,48.765,2643.7,25.228,49.603,3109.7,23.633,65.317,222.0,342.91,94.568,77.32,32.558,8.8175,26.266,6.7264,18.943,1.6303,32.938,13.713,24.269,1.2288,18.228,2.2328,4.8227,2.2097,0.0083311,0.82614,0.10134,53.691,44.227,62.337,54.212,26.552,61.345,22.883,37.843,34.465,45.616,45.594,37.978,16.482
50,0.27096,3613.7,4529.1,9.3772,26.754,42.212,2715.3,75.342,120.25,0.32557,79.734,48.2,2644.8,25.63,52.06,3110.6,23.2,65.29,224.46,342.99,94.608,77.166,32.558,8.8175,26.266,6.7264,18.943,1.6303,32.938,13.713,24.269,1.2288,18.228,2.2328,4.8227,2.2097,0.0083311,0.82614,0.10134,53.691,44.227,62.893,53.636,26.615,60.881,22.968,37.164,32.803,51.302,45.298,37.607,17.529
51,0.21287,3734.1,4473.5,9.1847,26.559,42.095,2717.8,74.965,120.35,0.32778,79.966,49.269,2648.2,24.436,50.237,3111.4,21.326,65.259,225.08,343.24,94.335,77.534,31.966,8.9309,26.45,6.9435,18.311,1.5848,33.069,13.676,23.764,1.4045,18.048,2.2189,4.767,2.2365,0.012302,0.82549,0.10572,54.497,43.936,63.349,54.01,21.398,63.074,23.306,37.769,35.949,47.083,45.061,39.264,21.941
52,0.21527,3715.0,4497.4,9.4332,26.788,42.343,2713.9,74.961,120.36,0.32415,79.798,50.571,2642.1,25.476,50.941,3110.2,22.579,65.273,223.54,342.95,94.491,76.89,31.966,8.9309,26.45,6.9435,18.311,1.5848,33.069,13.676,23.764,1.4045,18.048,2.2189,4.767,2.2365,0.012302,0.82549,0.10572,54.497,43.936,63.678,53.724,21.161,59.759,22.583,38.212,39.779,48.712,45.073,38.165,19.009
53,0.27221,3692.1,4531.7,9.4808,27.044,42.391,2710.7,76.064,120.38,0.3187,79.574,48.49,2639.6,24.77,48.386,3106.9,22.744,65.227,221.87,342.56,94.518,76.786,32.198,8.9721,26.331,6.925,18.562,1.6199,33.002,13.743,24.02,1.2549,18.288,2.2598,4.8468,2.2835,0.012302,0.82549,0.10572,54.497,43.936,62.212,54.89,26.669,61.615,22.564,37.685,33.657,42.799,45.103,38.626,18.654
54,0.27288,3632.9,4581.9,9.2867,26.53,42.353,2713.6,75.348,120.42,0.31833,79.826,49.878,2644.4,29.49,49.313,3106.8,20.397,65.163,221.8,343.21,94.662,77.318,32.198,8.9721,26.331,6.925,18.562,1.6199,33.002,13.743,24.02,1.2549,18.288,2.2598,4.8468,2.2835,0.012302,0.82549,0.10572,54.497,43.936,63.23,54.288,26.604,61.642,23.097,37.731,37.741,44.945,44.993,40.364,24.199
55,0.24954,3637.4,4557.7,9.3254,27.025,41.721,2711.9,75.6,120.41,0.32252,79.952,48.846,2640.9,24.228,49.564,3108.0,22.742,65.224,219.46,342.37,94.578,77.444,32.265,8.9812,26.346,6.7914,18.694,1.6181,33.192,13.919,24.471,1.1947,18.475,2.268,4.7223,2.2531,0.012302,0.82549,0.10572,54.497,43.936,63.267,54.019,24.716,62.39,22.579,38.837,34.703,45.524,45.079,39.228,18.609
56,0.25092,3692.4,4561.2,9.2262,27.032,42.258,2711.6,75.339,120.45,0.32799,79.968,49.227,2640.1,24.173,50.514,3106.3,22.248,65.236,221.1,342.45,94.624,77.463,32.265,8.9812,26.346,6.7914,18.694,1.6181,33.192,13.919,24.471,1.1947,18.475,2.268,4.7223,2.2531,-0.0049337,0.83702,0.10027,54.86,43.99,62.32,53.977,24.581,61.117,22.736,38.169,35.825,47.723,44.774,40.719,19.784
57,0.24453,3722.1,4500.8,9.2847,26.741,42.483,2709.2,74.4,120.43,0.34407,79.928,50.173,2638.1,25.008,50.256,3105.7,21.514,65.275,219.88,341.79,94.605,77.1,32.393,8.8016,26.237,7.0123,18.458,1.6573,33.22,13.902,24.266,1.3077,18.407,2.2457,4.8762,2.2324,-0.0049337,0.83702,0.10027,54.86,43.99,63.004,54.403,23.849,61.171,22.493,40.949,38.608,47.125,44.743,40.78,21.56
58,0.24422,3701.2,4536.6,9.2383,27.071,42.852,2705.7,75.533,120.43,0.34315,79.82,49.727,2634.0,25.483,50.7,3103.1,22.994,65.241,218.88,341.86,94.655,77.184,32.393,8.8016,26.237,7.0123,18.458,1.6573,33.22,13.902,24.266,1.3077,18.407,2.2457,4.8762,2.2324,-0.0049337,0.83702,0.10027,54.86,43.99,63.364,53.974,23.879,61.947,22.232,41.062,37.296,48.153,44.698,41.049,18.054
